Seal ID,Timestamp,Block Height,Custodian ID,Custodian Name,Passport ID,Hardware Enclave,FIPS Standard,PQC Signature Scheme,Certificate Serial,Merkle Leaf Hash,Legal Compliance Tag,Status
SEAL-00013-TC03,2026-09-01T09:32:02.813Z,849202,TC-03,ดร. กัญญารัตน์ เวชสิทธิ์,#EP-007,Trezor Safe 5 PQC Enclave,Common Criteria EAL6+ Certified,Dilithium-5 / Kyber-1024,CERT-SOV-PQC-0003-2026-EAL6,0x909ab8140000000d479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (PQC Enclave),VERIFIED
SEAL-00014-TC04,2026-09-01T09:32:02.813Z,849202,TC-04,วศ. ธนพล เกียรติไพศาล,#EP-014,Ledger Flex Secure Enclave,Common Criteria EAL6+ Certified,SPHINCS+ PQC (State-Free Hash),CERT-SOV-SRE-0004-2026-CC,0x909ab8140000000e479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Immutable Audit Trail),VERIFIED
SEAL-00015-TC05,2026-09-01T09:32:02.813Z,849202,TC-05,ศ.ดร. นครินทร์ สุวรรณเมฆา,#EP-022,NitroKey HSM-PQC-05 (Hardened),FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-MESH-0005-2026-FIPS,0x909ab8140000000f479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Mesh Consensus),VERIFIED
SEAL-00016-TC06,2026-09-01T09:32:02.813Z,849202,TC-06,พญ.ดร. รพิพร รัตนพิบูลย์,#EP-033,YubiKey 5C FIPS PIV-06,FIPS 140-2 Level 3 (PIV Slot 9A),FALCON-1024 (NIST Round 3),CERT-SOV-BIO-0006-2026-FIPS,0x909ab81400000010479844d8a14816bed34cdbb07528e18501da86fc4691763a,PDPA Sec 37 (Zero-Knowledge Vault),VERIFIED
SEAL-00017-TC07,2026-09-01T09:32:02.813Z,849202,TC-07,ดร. ธีรภัทร ชาญวณิชย์,#EP-048,Trezor Safe 5 PQC-07,Common Criteria EAL6+ Certified,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-WARP-0007-2026-EAL6,0x909ab81400000011479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (General Electronic Signature),VERIFIED
SEAL-00018-TC08,2026-09-01T09:32:02.813Z,849202,TC-08,อ. เมธาวี อัครเดโช,#EP-059,Ledger Stax Enclave-08,Common Criteria EAL6+ Secure Chip,SPHINCS+ PQC (State-Free Hash),CERT-SOV-EVD-0008-2026-EAL6,0x909ab81400000012479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Audit Ledger Safe Harbor),VERIFIED
SEAL-00019-TC09,2026-09-01T09:32:02.813Z,849202,TC-09,ดร. ชวินทร์ โรจนทรัพย์,#EP-077,NitroKey HSM-PQC-09,FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-CHAOS-0009-2026-FIPS,0x909ab81400000013479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Resilience Attestation),VERIFIED
SEAL-00020-TC10,2026-09-01T09:32:02.813Z,849202,TC-10,ดร. อภิชญา ทักษิณากุล,#EP-100,Custom Hardware HSM-10,Hardware Security Module Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-KNOW-0010-2026-LEVEL3,0x909ab81400000014479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (Knowledge Binding),VERIFIED
SEAL-00021-TC01,2026-09-01T09:32:02.813Z,849202,TC-01,นายยุทธภูมิ พากเพียร,#EP-SOVEREIGN-01,NitroKey HSM-PQC-01,FIPS 140-3 Level 4 Secure Element,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-OMEGA-0001-2026-ROOT,0x909ab81400000015479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Sovereign Root CA),VERIFIED
SEAL-00022-TC02,2026-09-01T09:32:02.813Z,849202,TC-02,พล. สมชาย พากเพียร,#EP-001,YubiKey 5C FIPS (Dual-Channel SE),FIPS 140-2 Overall Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-CIV-0002-2026-FIPS,0x909ab81400000016479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Advanced Secure Signature),VERIFIED
SEAL-00023-TC03,2026-09-01T09:32:02.813Z,849202,TC-03,ดร. กัญญารัตน์ เวชสิทธิ์,#EP-007,Trezor Safe 5 PQC Enclave,Common Criteria EAL6+ Certified,Dilithium-5 / Kyber-1024,CERT-SOV-PQC-0003-2026-EAL6,0x909ab81400000017479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (PQC Enclave),VERIFIED
SEAL-00024-TC04,2026-09-01T09:32:02.813Z,849202,TC-04,วศ. ธนพล เกียรติไพศาล,#EP-014,Ledger Flex Secure Enclave,Common Criteria EAL6+ Certified,SPHINCS+ PQC (State-Free Hash),CERT-SOV-SRE-0004-2026-CC,0x909ab81400000018479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Immutable Audit Trail),VERIFIED
SEAL-00025-TC05,2026-09-01T09:32:02.813Z,849202,TC-05,ศ.ดร. นครินทร์ สุวรรณเมฆา,#EP-022,NitroKey HSM-PQC-05 (Hardened),FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-MESH-0005-2026-FIPS,0x909ab81400000019479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Mesh Consensus),VERIFIED
SEAL-00026-TC06,2026-09-01T09:32:02.813Z,849202,TC-06,พญ.ดร. รพิพร รัตนพิบูลย์,#EP-033,YubiKey 5C FIPS PIV-06,FIPS 140-2 Level 3 (PIV Slot 9A),FALCON-1024 (NIST Round 3),CERT-SOV-BIO-0006-2026-FIPS,0x909ab8140000001a479844d8a14816bed34cdbb07528e18501da86fc4691763a,PDPA Sec 37 (Zero-Knowledge Vault),VERIFIED
SEAL-00027-TC07,2026-09-01T09:32:02.813Z,849202,TC-07,ดร. ธีรภัทร ชาญวณิชย์,#EP-048,Trezor Safe 5 PQC-07,Common Criteria EAL6+ Certified,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-WARP-0007-2026-EAL6,0x909ab8140000001b479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (General Electronic Signature),VERIFIED
SEAL-00028-TC08,2026-09-01T09:32:02.813Z,849202,TC-08,อ. เมธาวี อัครเดโช,#EP-059,Ledger Stax Enclave-08,Common Criteria EAL6+ Secure Chip,SPHINCS+ PQC (State-Free Hash),CERT-SOV-EVD-0008-2026-EAL6,0x909ab8140000001c479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Audit Ledger Safe Harbor),VERIFIED
SEAL-00029-TC09,2026-09-01T09:32:02.813Z,849202,TC-09,ดร. ชวินทร์ โรจนทรัพย์,#EP-077,NitroKey HSM-PQC-09,FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-CHAOS-0009-2026-FIPS,0x909ab8140000001d479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Resilience Attestation),VERIFIED
SEAL-00030-TC10,2026-09-01T09:32:02.813Z,849202,TC-10,ดร. อภิชญา ทักษิณากุล,#EP-100,Custom Hardware HSM-10,Hardware Security Module Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-KNOW-0010-2026-LEVEL3,0x909ab8140000001e479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (Knowledge Binding),VERIFIED
SEAL-00031-TC01,2026-09-01T09:32:02.813Z,849202,TC-01,นายยุทธภูมิ พากเพียร,#EP-SOVEREIGN-01,NitroKey HSM-PQC-01,FIPS 140-3 Level 4 Secure Element,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-OMEGA-0001-2026-ROOT,0x909ab8140000001f479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Sovereign Root CA),VERIFIED
SEAL-00032-TC02,2026-09-01T09:32:02.813Z,849202,TC-02,พล. สมชาย พากเพียร,#EP-001,YubiKey 5C FIPS (Dual-Channel SE),FIPS 140-2 Overall Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-CIV-0002-2026-FIPS,0x909ab81400000020479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Advanced Secure Signature),VERIFIED
SEAL-00033-TC03,2026-09-01T09:32:02.813Z,849202,TC-03,ดร. กัญญารัตน์ เวชสิทธิ์,#EP-007,Trezor Safe 5 PQC Enclave,Common Criteria EAL6+ Certified,Dilithium-5 / Kyber-1024,CERT-SOV-PQC-0003-2026-EAL6,0x909ab81400000021479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (PQC Enclave),VERIFIED
SEAL-00034-TC04,2026-09-01T09:32:02.813Z,849202,TC-04,วศ. ธนพล เกียรติไพศาล,#EP-014,Ledger Flex Secure Enclave,Common Criteria EAL6+ Certified,SPHINCS+ PQC (State-Free Hash),CERT-SOV-SRE-0004-2026-CC,0x909ab81400000022479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Immutable Audit Trail),VERIFIED
SEAL-00035-TC05,2026-09-01T09:32:02.813Z,849202,TC-05,ศ.ดร. นครินทร์ สุวรรณเมฆา,#EP-022,NitroKey HSM-PQC-05 (Hardened),FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-MESH-0005-2026-FIPS,0x909ab81400000023479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Mesh Consensus),VERIFIED
SEAL-00036-TC06,2026-09-01T09:32:02.813Z,849202,TC-06,พญ.ดร. รพิพร รัตนพิบูลย์,#EP-033,YubiKey 5C FIPS PIV-06,FIPS 140-2 Level 3 (PIV Slot 9A),FALCON-1024 (NIST Round 3),CERT-SOV-BIO-0006-2026-FIPS,0x909ab81400000024479844d8a14816bed34cdbb07528e18501da86fc4691763a,PDPA Sec 37 (Zero-Knowledge Vault),VERIFIED
SEAL-00037-TC07,2026-09-01T09:32:02.813Z,849202,TC-07,ดร. ธีรภัทร ชาญวณิชย์,#EP-048,Trezor Safe 5 PQC-07,Common Criteria EAL6+ Certified,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-WARP-0007-2026-EAL6,0x909ab81400000025479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (General Electronic Signature),VERIFIED
SEAL-00038-TC08,2026-09-01T09:32:02.813Z,849202,TC-08,อ. เมธาวี อัครเดโช,#EP-059,Ledger Stax Enclave-08,Common Criteria EAL6+ Secure Chip,SPHINCS+ PQC (State-Free Hash),CERT-SOV-EVD-0008-2026-EAL6,0x909ab81400000026479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Audit Ledger Safe Harbor),VERIFIED
SEAL-00039-TC09,2026-09-01T09:32:02.813Z,849202,TC-09,ดร. ชวินทร์ โรจนทรัพย์,#EP-077,NitroKey HSM-PQC-09,FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-CHAOS-0009-2026-FIPS,0x909ab81400000027479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Resilience Attestation),VERIFIED
SEAL-00040-TC10,2026-09-01T09:32:02.813Z,849202,TC-10,ดร. อภิชญา ทักษิณากุล,#EP-100,Custom Hardware HSM-10,Hardware Security Module Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-KNOW-0010-2026-LEVEL3,0x909ab81400000028479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (Knowledge Binding),VERIFIED
SEAL-00041-TC01,2026-09-01T09:32:02.813Z,849202,TC-01,นายยุทธภูมิ พากเพียร,#EP-SOVEREIGN-01,NitroKey HSM-PQC-01,FIPS 140-3 Level 4 Secure Element,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-OMEGA-0001-2026-ROOT,0x909ab81400000029479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Sovereign Root CA),VERIFIED
SEAL-00042-TC02,2026-09-01T09:32:02.813Z,849202,TC-02,พล. สมชาย พากเพียร,#EP-001,YubiKey 5C FIPS (Dual-Channel SE),FIPS 140-2 Overall Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-CIV-0002-2026-FIPS,0x909ab8140000002a479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Advanced Secure Signature),VERIFIED
SEAL-00043-TC03,2026-09-01T09:32:02.813Z,849202,TC-03,ดร. กัญญารัตน์ เวชสิทธิ์,#EP-007,Trezor Safe 5 PQC Enclave,Common Criteria EAL6+ Certified,Dilithium-5 / Kyber-1024,CERT-SOV-PQC-0003-2026-EAL6,0x909ab8140000002b479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (PQC Enclave),VERIFIED
SEAL-00044-TC04,2026-09-01T09:32:02.813Z,849202,TC-04,วศ. ธนพล เกียรติไพศาล,#EP-014,Ledger Flex Secure Enclave,Common Criteria EAL6+ Certified,SPHINCS+ PQC (State-Free Hash),CERT-SOV-SRE-0004-2026-CC,0x909ab8140000002c479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Immutable Audit Trail),VERIFIED
SEAL-00045-TC05,2026-09-01T09:32:02.813Z,849202,TC-05,ศ.ดร. นครินทร์ สุวรรณเมฆา,#EP-022,NitroKey HSM-PQC-05 (Hardened),FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-MESH-0005-2026-FIPS,0x909ab8140000002d479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Mesh Consensus),VERIFIED
SEAL-00046-TC06,2026-09-01T09:32:02.813Z,849202,TC-06,พญ.ดร. รพิพร รัตนพิบูลย์,#EP-033,YubiKey 5C FIPS PIV-06,FIPS 140-2 Level 3 (PIV Slot 9A),FALCON-1024 (NIST Round 3),CERT-SOV-BIO-0006-2026-FIPS,0x909ab8140000002e479844d8a14816bed34cdbb07528e18501da86fc4691763a,PDPA Sec 37 (Zero-Knowledge Vault),VERIFIED
SEAL-00047-TC07,2026-09-01T09:32:02.813Z,849202,TC-07,ดร. ธีรภัทร ชาญวณิชย์,#EP-048,Trezor Safe 5 PQC-07,Common Criteria EAL6+ Certified,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-WARP-0007-2026-EAL6,0x909ab8140000002f479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (General Electronic Signature),VERIFIED
SEAL-00048-TC08,2026-09-01T09:32:02.813Z,849202,TC-08,อ. เมธาวี อัครเดโช,#EP-059,Ledger Stax Enclave-08,Common Criteria EAL6+ Secure Chip,SPHINCS+ PQC (State-Free Hash),CERT-SOV-EVD-0008-2026-EAL6,0x909ab81400000030479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Audit Ledger Safe Harbor),VERIFIED
SEAL-00049-TC09,2026-09-01T09:32:02.813Z,849202,TC-09,ดร. ชวินทร์ โรจนทรัพย์,#EP-077,NitroKey HSM-PQC-09,FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-CHAOS-0009-2026-FIPS,0x909ab81400000031479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Resilience Attestation),VERIFIED
SEAL-00050-TC10,2026-09-01T09:32:02.813Z,849202,TC-10,ดร. อภิชญา ทักษิณากุล,#EP-100,Custom Hardware HSM-10,Hardware Security Module Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-KNOW-0010-2026-LEVEL3,0x909ab81400000032479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (Knowledge Binding),VERIFIED
SEAL-00051-TC01,2026-09-01T09:32:02.813Z,849202,TC-01,นายยุทธภูมิ พากเพียร,#EP-SOVEREIGN-01,NitroKey HSM-PQC-01,FIPS 140-3 Level 4 Secure Element,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-OMEGA-0001-2026-ROOT,0x909ab81400000033479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Sovereign Root CA),VERIFIED
SEAL-00052-TC02,2026-09-01T09:32:02.813Z,849202,TC-02,พล. สมชาย พากเพียร,#EP-001,YubiKey 5C FIPS (Dual-Channel SE),FIPS 140-2 Overall Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-CIV-0002-2026-FIPS,0x909ab81400000034479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Advanced Secure Signature),VERIFIED
SEAL-00053-TC03,2026-09-01T09:32:02.813Z,849202,TC-03,ดร. กัญญารัตน์ เวชสิทธิ์,#EP-007,Trezor Safe 5 PQC Enclave,Common Criteria EAL6+ Certified,Dilithium-5 / Kyber-1024,CERT-SOV-PQC-0003-2026-EAL6,0x909ab81400000035479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (PQC Enclave),VERIFIED
SEAL-00054-TC04,2026-09-01T09:32:02.813Z,849202,TC-04,วศ. ธนพล เกียรติไพศาล,#EP-014,Ledger Flex Secure Enclave,Common Criteria EAL6+ Certified,SPHINCS+ PQC (State-Free Hash),CERT-SOV-SRE-0004-2026-CC,0x909ab81400000036479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Immutable Audit Trail),VERIFIED
SEAL-00055-TC05,2026-09-01T09:32:02.813Z,849202,TC-05,ศ.ดร. นครินทร์ สุวรรณเมฆา,#EP-022,NitroKey HSM-PQC-05 (Hardened),FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-MESH-0005-2026-FIPS,0x909ab81400000037479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Mesh Consensus),VERIFIED
SEAL-00056-TC06,2026-09-01T09:32:02.813Z,849202,TC-06,พญ.ดร. รพิพร รัตนพิบูลย์,#EP-033,YubiKey 5C FIPS PIV-06,FIPS 140-2 Level 3 (PIV Slot 9A),FALCON-1024 (NIST Round 3),CERT-SOV-BIO-0006-2026-FIPS,0x909ab81400000038479844d8a14816bed34cdbb07528e18501da86fc4691763a,PDPA Sec 37 (Zero-Knowledge Vault),VERIFIED
SEAL-00057-TC07,2026-09-01T09:32:02.813Z,849202,TC-07,ดร. ธีรภัทร ชาญวณิชย์,#EP-048,Trezor Safe 5 PQC-07,Common Criteria EAL6+ Certified,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-WARP-0007-2026-EAL6,0x909ab81400000039479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (General Electronic Signature),VERIFIED
SEAL-00058-TC08,2026-09-01T09:32:02.813Z,849202,TC-08,อ. เมธาวี อัครเดโช,#EP-059,Ledger Stax Enclave-08,Common Criteria EAL6+ Secure Chip,SPHINCS+ PQC (State-Free Hash),CERT-SOV-EVD-0008-2026-EAL6,0x909ab8140000003a479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Audit Ledger Safe Harbor),VERIFIED
SEAL-00059-TC09,2026-09-01T09:32:02.813Z,849202,TC-09,ดร. ชวินทร์ โรจนทรัพย์,#EP-077,NitroKey HSM-PQC-09,FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-CHAOS-0009-2026-FIPS,0x909ab8140000003b479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Resilience Attestation),VERIFIED
SEAL-00060-TC10,2026-09-01T09:32:02.813Z,849202,TC-10,ดร. อภิชญา ทักษิณากุล,#EP-100,Custom Hardware HSM-10,Hardware Security Module Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-KNOW-0010-2026-LEVEL3,0x909ab8140000003c479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 9 (Knowledge Binding),VERIFIED
SEAL-00061-TC01,2026-09-01T09:32:02.813Z,849202,TC-01,นายยุทธภูมิ พากเพียร,#EP-SOVEREIGN-01,NitroKey HSM-PQC-01,FIPS 140-3 Level 4 Secure Element,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-OMEGA-0001-2026-ROOT,0x909ab8140000003d479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 28 (Sovereign Root CA),VERIFIED
SEAL-00062-TC02,2026-09-01T09:32:02.813Z,849202,TC-02,พล. สมชาย พากเพียร,#EP-001,YubiKey 5C FIPS (Dual-Channel SE),FIPS 140-2 Overall Level 3,FALCON-1024 (NIST Round 3),CERT-SOV-CIV-0002-2026-FIPS,0x909ab8140000003e479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Advanced Secure Signature),VERIFIED
SEAL-00063-TC03,2026-09-01T09:32:02.813Z,849202,TC-03,ดร. กัญญารัตน์ เวชสิทธิ์,#EP-007,Trezor Safe 5 PQC Enclave,Common Criteria EAL6+ Certified,Dilithium-5 / Kyber-1024,CERT-SOV-PQC-0003-2026-EAL6,0x909ab8140000003f479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (PQC Enclave),VERIFIED
SEAL-00064-TC04,2026-09-01T09:32:02.813Z,849202,TC-04,วศ. ธนพล เกียรติไพศาล,#EP-014,Ledger Flex Secure Enclave,Common Criteria EAL6+ Certified,SPHINCS+ PQC (State-Free Hash),CERT-SOV-SRE-0004-2026-CC,0x909ab81400000040479844d8a14816bed34cdbb07528e18501da86fc4691763a,NCSA Sec 35 (Immutable Audit Trail),VERIFIED
SEAL-00065-TC05,2026-09-01T09:32:02.813Z,849202,TC-05,ศ.ดร. นครินทร์ สุวรรณเมฆา,#EP-022,NitroKey HSM-PQC-05 (Hardened),FIPS 140-3 Level 3 Hardware,CRYSTALS-Dilithium-5 (ML-DSA-87),CERT-SOV-MESH-0005-2026-FIPS,0x909ab81400000041479844d8a14816bed34cdbb07528e18501da86fc4691763a,ETDA Sec 26 (Mesh Consensus),VERIFIED
